         TOF        Yobs    sYobs        Ycal     YcalBad
    17025.50    21210.00    03753    24613.00    23990.00
    17034.01    27147.00    04031    24556.00    24010.00
    17042.53    26968.00    04030    24515.00    24030.00
    17051.04    23015.00    03860    24485.00    24040.00
    17059.57    25038.00    03952    24064.00    24060.00
    17068.10    18092.00    03640    24083.00    24080.00
    17076.63    28285.00    04111    24102.00    24100.00
    17085.17    22444.00    03856    24121.00    24120.00
    17093.72    21542.00    03821    24140.00    24140.00
    17102.26    25305.00    04002    24159.00    24160.00
    17110.81    28314.00    04143    24179.00    24180.00
    17119.37    22053.00    03861    24198.00    24200.00
    17127.93    20277.00    03791    24217.00    24220.00
    17136.49    21710.00    03860    24236.00    24240.00
    17145.06    23206.00    03937    24255.00    24250.00
    17153.64    17628.00    03678    24274.00    24270.00
    17162.21    21947.00    03894    24293.00    24290.00
    17170.79    28654.00    04205    24312.00    24310.00
    17179.38    23352.00    03968    24331.00    24330.00
    17187.97    30397.00    04297    24350.00    24350.00
    17196.56    26057.00    04107    24369.00    24370.00
    17205.17    21567.00    03908    24389.00    24390.00
    17213.78    23980.00    04028    24408.00    24410.00
    17222.38    21877.00    03938    24427.00    24430.00
    17230.99    22894.00    03994    24446.00    24450.00
    17239.59    16893.00    03711    24465.00    24460.00
    17248.21    26428.00    04164    24484.00    24480.00
    17256.85    24213.00    04071    24503.00    24500.00
    17265.47    24224.00    04087    24522.00    24520.00
    17274.10    28135.00    04264    24541.00    24540.00
    17282.73    29630.00    04338    24559.00    24560.00
    17291.38    30282.00    04367    24578.00    24580.00
    17300.04    27996.00    04283    24597.00    24600.00
    17308.67    24008.00    04111    24616.00    24620.00
    17317.32    23636.00    04095    24635.00    24640.00
    17325.99    24054.00    04122    24654.00    24650.00
    17334.66    19103.00    03895    24673.00    24670.00
    17343.33    20048.00    03949    24692.00    24690.00
    17351.99    28438.00    04346    24710.00    24710.00
    17360.66    29671.00    04409    24729.00    24730.00
    17369.34    25157.00    04208    24748.00    24750.00
    17378.04    21755.00    04058    24766.00    24770.00
    17386.72    23355.00    04149    24785.00    24790.00
    17395.41    23342.00    04150    24804.00    24800.00
    17404.11    26090.00    04285    24822.00    24820.00
    17412.82    28328.00    04386    24841.00    24840.00
    17421.53    19637.00    03998    24860.00    24860.00
    17430.23    25260.00    04272    24878.00    24880.00
    17438.94    24510.00    04239    24897.00    24900.00
    17447.67    30895.00    04534    24915.00    24910.00
    17456.40    24500.00    04256    24933.00    24930.00
    17465.13    29931.00    04509    24952.00    24950.00
    17473.86    23327.00    04218    24970.00    24970.00
    17482.59    20387.00    04086    24988.00    24990.00
    17491.33    25957.00    04350    25007.00    25010.00
    17500.07    27300.00    04427    25025.00    25020.00
    17508.82    26977.00    04414    25043.00    25040.00
    17517.58    24759.00    04321    25061.00    25060.00
    17526.34    28194.00    04486    25079.00    25080.00
    17535.10    26325.00    04410    25097.00    25100.00
    17543.87    20914.00    04157    25116.00    25120.00
    17552.65    20870.00    04171    25134.00    25130.00
    17561.42    22759.00    04263    25151.00    25150.00
    17570.21    27705.00    04501    25169.00    25170.00
    17578.98    21246.00    04215    25187.00    25190.00
    17587.77    23465.00    04316    25205.00    25200.00
    17596.58    21905.00    04257    25223.00    25220.00
    17605.37    21416.00    04243    25240.00    25240.00
    17614.17    23464.00    04342    25258.00    25260.00
    17622.98    27732.00    04556    25276.00    25280.00
    17631.79    24658.00    04416    25293.00    25290.00
    17640.61    30977.00    04712    25311.00    25310.00
    17649.43    20565.00    04239    25328.00    25330.00
    17658.25    24783.00    04450    25345.00    25350.00
    17667.08    31028.00    04734    25363.00    25360.00
    17675.92    20330.00    04255    25380.00    25380.00
    17684.75    26274.00    04539    25397.00    25400.00
    17693.59    21813.00    04345    25414.00    25410.00
    17702.43    22798.00    04395    25431.00    25430.00
    17711.28    24732.00    04495    25449.00    25450.00
    17720.14    27961.00    04646    25465.00    25470.00
    17729.01    25119.00    04533    25482.00    25480.00
    17737.88    22366.00    04404    25499.00    25500.00
    17746.74    25722.00    04579    25516.00    25520.00
    17755.61    26223.00    04604    25533.00    25530.00
    17764.49    25134.00    04563    25549.00    25550.00
    17773.37    21731.00    04410    25566.00    25570.00
    17782.25    26523.00    04646    25582.00    25580.00
    17791.15    28900.00    04756    25599.00    25600.00
    17800.05    26105.00    04646    25615.00    25620.00
    17808.95    22893.00    04496    25631.00    25630.00
    17817.86    21060.00    04416    25648.00    25650.00
    17826.77    24579.00    04594    25664.00    25660.00
    17835.68    21911.00    04476    25680.00    25680.00
    17844.60    23934.00    04583    25696.00    25700.00
    17853.51    23652.00    04578    25712.00    25710.00
    17862.44    26179.00    04699    25728.00    25730.00
    17871.38    27724.00    04780    25743.00    25740.00
    17880.30    22128.00    04533    25759.00    25760.00
    17889.23    26906.00    04761    25775.00    25770.00
    17898.19    27948.00    04810    25790.00    25790.00
    17907.15    22160.00    04554    25806.00    25810.00
    17916.09    25134.00    04706    25821.00    25820.00
    17925.05    30887.00    04971    25836.00    25840.00
    17934.01    30542.00    04974    25851.00    25850.00
    17942.97    24180.00    04681    25866.00    25870.00
    17951.94    31721.00    05037    25881.00    25880.00
    17960.91    22622.00    04625    25896.00    25900.00
    17969.90    25985.00    04786    25911.00    25910.00
    17978.89    19429.00    04486    25926.00    25930.00
    17987.88    20260.00    04529    25941.00    25940.00
    17996.88    21855.00    04617    25955.00    25960.00
    18005.88    25403.00    04805    25970.00    25970.00
    18014.86    21596.00    04623    25984.00    25980.00
    18023.88    24330.00    04757    25998.00    26000.00
    18032.90    29610.00    05020    26013.00    26010.00
