         TOF        Yobs    sYobs        Ycal     YcalBad
    13787.53    18619.00    01965    20398.00    20400.00
    13794.42    20189.00    02029    20398.00    20400.00
    13801.31    20476.00    02042    20398.00    20400.00
    13808.22    19718.00    02012    20398.00    20400.00
    13815.13    18941.00    01989    20398.00    20400.00
    13822.03    15963.00    01869    20398.00    20400.00
    13828.95    17093.00    01917    20398.00    20400.00
    13835.86    20629.00    02063    20398.00    20400.00
    13842.77    16605.00    01903    20397.00    20400.00
    13849.69    16335.00    01895    20397.00    20400.00
    13856.62    21315.00    02088    20397.00    20400.00
    13863.56    19188.00    02015    20397.00    20400.00
    13870.48    21549.00    02108    20397.00    20400.00
    13877.42    18130.00    01975    20397.00    20400.00
    13884.36    18463.00    01996    20397.00    20400.00
    13891.29    20179.00    02061    20397.00    20400.00
    13898.25    19413.00    02034    20397.00    20400.00
    13905.20    20903.00    02094    20397.00    20400.00
    13912.15    19476.00    02043    20397.00    20400.00
    13919.10    18238.00    01997    20398.00    20400.00
    13926.06    22231.00    02154    20398.00    20400.00
    13933.02    21118.00    02111    20398.00    20400.00
    13939.99    20010.00    02076    20398.00    20400.00
    13946.96    19496.00    02055    20398.00    20400.00
    13953.94    19101.00    02043    20398.00    20400.00
    13960.92    20214.00    02089    20398.00    20400.00
    13967.91    20581.00    02106    20398.00    20400.00
    13974.89    16940.00    01965    20398.00    20400.00
    13981.87    17387.00    01987    20398.00    20400.00
    13988.86    18704.00    02043    20399.00    20400.00
    13995.85    19023.00    02054    20399.00    20400.00
    14002.85    18981.00    02060    20399.00    20400.00
    14009.85    19928.00    02096    20399.00    20400.00
    14016.86    21967.00    02177    20399.00    20400.00
    14023.88    19561.00    02088    20400.00    20400.00
    14030.89    19890.00    02105    20400.00    20400.00
    14037.91    18457.00    02052    20400.00    20400.00
    14044.92    20890.00    02150    20400.00    20400.00
    14051.93    20646.00    02144    20401.00    20400.00
    14058.96    20504.00    02137    20401.00    20400.00
    14065.99    21619.00    02188    20401.00    20400.00
    14073.02    22692.00    02227    20401.00    20400.00
    14080.06    19223.00    02097    20402.00    20400.00
    14087.11    20681.00    02158    20402.00    20400.00
    14094.15    18497.00    02075    20403.00    20400.00
    14101.19    19848.00    02132    20403.00    20400.00
    14108.24    18901.00    02098    20403.00    20400.00
    14115.30    18253.00    02071    20404.00    20400.00
